year	state	grade	jlfy	ylfy	zyrc	jlypf	ylypf	tczhzf
2002	0	三级	7259.70	3732.72	4	693.58	2601.72	7750.78
2003	0	三级	0.00	0.00	1	0.00	0.00	0.00
2004	0	三级	8427.41	69745.90	6	4501.01	17865.95	4684.80
2005	0	三级	263968.29	1069147.20	169	30897.13	180759.98	704671.73
2006	0	三级	-2829773.80	18994122.20	2666	841463.86	4216335.89	8130469.19
2007	0	三级	-3504273.72	25791582.20	3210	1192584.44	6265454.71	11343823.71
2008	0	三级	2206975.03	24814300.80	3728	1433055.66	7656211.49	14326193.71
2009	0	三级	3357867.36	30543772.10	4172	1638184.62	8614133.12	20265995.68
2010	0	三级	17308658.72	27017452.20	4863	3188667.91	10694661.08	31514087.21
2011	0	三级	24841468.62	38455074.50	6250	4399876.88	14980793.17	44787747.94
2012	0	三级	33585463.26	59073404.37	8661	6953322.94	24268792.82	64572669.05
2013	0	三级	40207372.20	72040663.78	9583	8184093.93	28646162.89	78764508.23
2014	0	三级	42500550.66	77937013.23	10498	9526879.26	36160635.51	84949588.20
2015	0	三级	50596183.85	89391223.44	11769	11657816.72	46237863.10	99144716.86
