year	state	grade	jlfy	ylfy	zyrc	jlypf	ylypf	tczhzf
2001	0	二级	1725.33	4000.00	2	0.00	0.00	3620.26
2002	0	二级	1083.14	1400.00	2	0.00	0.00	1474.51
2004	0	二级	991829.29	89324.00	125	14673.26	38055.49	899394.47
2005	0	二级	670175.51	334712.60	202	32366.54	92367.39	753397.34
2006	0	二级	610334.04	6767752.00	2768	578924.21	1572906.18	4398650.31
2007	0	二级	1247941.03	8429849.10	3299	835456.99	2616685.75	5812525.05
2008	0	二级	2942431.91	10646146.80	4157	1214730.79	3861967.03	8612373.23
2009	0	二级	4488150.20	11412668.71	4555	1439446.17	4827948.90	11002640.46
2010	0	二级	11863593.58	8508299.30	5085	2723349.09	4839515.67	15204099.71
2011	0	二级	14536871.17	10524780.60	5673	3640105.66	5780440.96	18845469.65
2012	0	二级	17425320.20	15380410.10	6697	4294828.51	7202393.67	23672086.32
2013	0	二级	19206800.02	19306617.30	7524	4567603.11	8880711.20	27488713.80
2014	0	二级	25206536.85	23169359.66	8853	5553566.80	11314916.85	35063084.87
2015	0	二级	34941224.49	29654083.99	12043	6835328.01	16195062.80	47031600.72

