year	state	grade	jlfy	ylfy	zyrc	jlypf	ylypf	tczhzf
2000	0	一级	6918.16	1248.80	1	5051.01	340.80	6495.77
2001	0	一级	611.93	595.50	1	56.58	322.20	583.09
2005	0	一级	49837.36	45721.40	37	34308.21	16652.41	66929.51
2006	0	一级	885349.09	1236592.80	1145	785845.39	479368.12	1353607.75
2007	0	一级	763918.04	1640043.20	1192	637633.39	859770.04	1574597.10
2008	0	一级	1256550.19	3164884.70	2160	952307.51	1976602.21	2974279.27
2009	0	一级	2000517.86	4598439.75	3228	1769171.63	3087596.91	4687538.35
2010	0	一级	4276575.90	3274934.95	3584	2284664.78	3054787.22	5610503.72
2011	0	一级	4887739.43	3277988.91	3725	2476464.49	2948242.57	6119944.16
2012	0	一级	7802730.21	5299610.04	4926	4069710.90	4522770.30	9291690.41
2013	0	一级	11980071.26	9199018.71	7013	5475122.52	7217758.97	15330777.82
2014	0	一级	14072937.80	9891847.99	8393	6611934.89	8384820.63	17316603.80
2015	0	一级	14483931.24	6959071.46	7960	6840812.50	5311450.33	15391932.20
