year	state	grade	jlfy	ylfy	zyrc	jlypf	ylypf	tczhzf
2002	1	三级	0.00	0.00	1	0.00	0.00	0.00
2003	1	三级	2402.60	3184.10	1	0.00	0.00	4108.10
2004	1	三级	-627.48	24573.60	6	143.16	1479.40	15589.76
2005	1	三级	-417502.22	1899130.30	215	67791.46	435851.71	937861.44
2006	1	三级	-7826589.72	34148868.40	4093	1590643.87	8019286.56	15251321.97
2007	1	三级	-8407883.23	47491301.40	5191	2514238.05	13741608.32	22620612.49
2008	1	三级	-230429.19	51211473.34	6230	3025786.62	17167025.35	29563776.68
2009	1	三级	4161880.41	61265053.11	7301	3788409.97	20721454.02	42148159.54
2010	1	三级	34959589.56	60943155.66	8688	7531515.19	26680922.07	74109186.30
2011	1	三级	52730032.36	76474096.20	10602	10243556.72	36692266.93	102067886.48
2012	1	三级	72535503.74	134178910.90	15715	16985710.77	62026604.76	160395098.27
2013	1	三级	89100712.50	167077701.41	17920	20408263.51	77485620.09	199615766.73
2014	1	三级	103612403.75	196024375.90	20525	25646519.90	99819967.24	234602661.69
2015	1	三级	132605097.85	251120447.22	24437	32967011.50	139124119.69	301299488.03
