2006,1,6924.67,10
2006,2,91591.33,165
2006,3,269329.57,479
2006,4,830377.08,1524
2006,5,1419532.91,2618
2006,6,1394716.26,2645
2006,7,231414.67,444
2006,8,15854.16,27
2007,1,9890.22,13
2007,2,98147.85,170
2007,3,290676.59,485
2007,4,917439.12,1670
2007,5,1588847.20,2858
2007,6,1633925.32,3021
2007,7,313844.60,593
2007,8,11168.01,22
2008,1,7674.91,11
2008,2,82126.76,149
2008,3,296314.38,481
2008,4,868186.22,1549
2008,5,1551714.06,2783
2008,6,1661897.25,3049
2008,7,357501.60,640
2008,8,18323.14,36
2009,1,10478.29,12
2009,2,99192.58,139
2009,3,424171.06,528
2009,4,1236241.66,1622
2009,5,2215648.50,2949
2009,6,2473661.89,3342
2009,7,591667.39,805
2009,8,36603.16,50
2010,0,15.71,1
2010,1,7543.48,38
2010,2,120832.25,421
2010,3,554409.05,2205
2010,4,1440848.18,6571
2010,5,2511902.36,10814
2010,6,3047805.81,14008
2010,7,798329.03,3665
2010,8,42827.92,183
2011,1,18692.94,202
2011,2,134735.21,1431
2011,3,770611.24,8098
2011,4,1980878.27,20670
2011,5,3432982.38,35588
2011,6,4040800.74,42936
2011,7,1292808.06,13988
2011,8,70487.35,814
2012,1,22699.95,304
2012,2,168561.10,1783
2012,3,950634.46,9785
2012,4,2403469.98,25351
2012,5,4501110.83,47961
2012,6,4958323.53,54283
2012,7,1811101.93,20025
2012,8,107796.98,1127
2012,9,1400.00,16
2013,1,21523.72,251
2013,2,173131.43,1804
2013,3,945861.76,9628
2013,4,2769848.34,28678
2013,5,5436968.06,56800
2013,6,5653356.75,60617
2013,7,2403636.86,26734
2013,8,137584.63,1369
2013,9,2800.00,31
2014,1,119743.49,385
2014,2,461376.50,2040
2014,3,2058471.22,10193
2014,4,4162643.60,31501
2014,5,7345894.98,65642
2014,6,7532923.01,70748
2014,7,3044385.13,30575
2014,8,174306.96,1657
2014,9,4199.69,35
2015,0,150.67,2
2015,1,981064.33,3381
2015,2,2544933.25,7851
2015,3,7452226.82,21833
2015,4,13201643.45,54600
2015,5,19046528.78,103846
2015,6,15770811.06,107601
2015,7,6171070.48,45657
2015,8,269498.58,2123
2015,9,3194.80,32
2016,0,12691.89,5
2016,1,219785.72,278
2016,2,1325002.58,2125
2016,3,4311773.18,7395
2016,4,6473372.67,21820
2016,5,9986386.71,45370
2016,6,8511451.33,50589
2016,7,3119223.53,23859
2016,8,146207.54,1295
2016,9,184.63,5
