月份,总费用支出,统筹总支出,住院总费用,住院统筹支付,门诊总费用,门诊统筹支付,住院人次,门诊人次,均次住院统筹支付,均次门诊统筹支付
201005,31823285.21,22465048.57,30990406.37,22084260.85,832878.84,380787.72,4757,642,4642.48,593.13
201006,36215500.44,23987266.68,32851495.04,22446790.28,3364005.4,1540476.4,4659,2762,4817.94,557.74
201007,34696204.03,24440711.96,34012645.11,24144559.94,683558.92,296152.02,4995,1013,4833.75,292.35
201008,29614575.54,21034933.67,28991515.23,20680263.05,623060.31,354670.62,4807,4032,4302.11,87.96
201009,34091478.93,24204043.18,32610381.43,23292937.7,1481097.5,911105.48,5029,7626,4631.72,119.47
201010,38417597.86,26829904.5,35453102.73,25073378.45,2964495.13,1756526.05,5071,4664,4944.46,376.61
201011,37721227.03,26687319.31,36454595.32,26000993.54,1266631.71,686325.77,5241,6656,4961.07,103.11
201012,44865212.98,30998627.91,40108902.42,28551637.7,4756310.56,2446990.21,6042,10287,4725.53,237.87
201101,38969970.73,27457689.4,37329841.77,26624597.82,1640128.96,833091.58,5305,6709,5018.77,124.18
201102,36736644.96,26538150.52,35707261.85,25943857.58,1029383.11,594292.94,5003,7447,5185.66,79.8
201103,45520690.95,32517979.77,43494585.43,31289093.61,2026105.52,1228886.16,5923,13044,5282.64,94.21
201104,41038799.76,29710046.68,40171434.07,29241409.52,867365.69,468637.16,5468,6762,5347.73,69.3
201105,39803135.58,28216518.09,38195755.63,27401770.35,1607379.95,814747.74,5279,8883,5190.71,91.72
201106,40119755.11,28268167.2,37401643.88,26817572.26,2718111.23,1450594.94,5005,14491,5358.16,100.1
201107,41429506.76,29126814.28,40186348.17,28464838.98,1243158.59,661975.3,5157,7998,5519.65,82.77
201108,38522406.18,27190858.25,37138486.7,26436751.66,1383919.48,754106.59,5095,9417,5188.76,80.08
201109,43802969.7,30681825.72,41145692.77,29179586.18,2657276.93,1502239.54,5381,15394,5422.71,97.59
201110,49084821.06,34886909.46,47933876.04,34289343.23,1150945.02,597566.23,6250,8148,5486.29,73.34
201111,50070148.83,35055910.58,48289138.52,34101088.77,1781010.31,954821.81,6571,10969,5189.63,87.05
201112,55883010.63,38329736.39,52109640.05,36452268.69,3773370.58,1877467.7,7084,14420,5145.72,130.2
201201,46833649.08,32283465.36,46090148.6,31916471.6,743500.48,366993.76,5716,3387,5583.71,108.35
201202,59196805.38,39926203.24,56982177.23,38640044.1,2214628.15,1286159.14,6818,13894,5667.36,92.57
201203,64859524.53,44117383.14,61666486.09,42228211.56,3193038.44,1889171.58,7646,18597,5522.92,101.58
201204,58471221.35,39935808.71,57109807.07,39210970.86,1361414.28,724837.85,6825,9567,5745.2,75.76
201205,61983548.89,42014396.31,60064992.13,41036443.74,1918556.76,977952.57,7097,12102,5782.22,80.81
201206,63852300.91,43298126.3,60245593.84,41385131.7,3606707.07,1912994.6,7010,19160,5903.73,99.84
201207,66348833.81,44996192.28,64914006.34,44290141.99,1434827.47,706050.29,7615,9680,5816.17,72.94
201208,55614100.78,37285049.82,53650618.71,36278933.31,1963482.07,1006116.51,6130,12202,5918.26,82.46
201209,59819478.36,40504485.33,56343174.05,38533040.76,3476304.31,1971444.57,6810,19693,5658.3,100.11
201210,69362059.62,47378079.87,67867384.91,46605053.93,1494674.71,773025.94,7950,10417,5862.27,74.21
201211,66216802.17,45383582.63,64015204.43,44257535.84,2201597.74,1126046.79,7614,13384,5812.65,84.13
201212,80060078.92,54918170.33,75681193.82,52737840.53,4378885.1,2180329.8,9123,18501,5780.76,117.85
201301,73831934,49980696.76,71172372.87,48875591.85,2659561.13,1105104.91,8113,11453,6024.35,96.49
201302,56468511.84,38179644.05,54315992.71,37107656.95,2152519.13,1071987.1,6063,12138,6120.35,88.32
201303,82532953.05,55461401.37,78484706.37,53279065.88,4048246.68,2182335.49,8786,20851,6064.09,104.66
201304,74659895.06,49995194.29,72997791.09,49194965.67,1662103.97,800228.62,8129,10649,6051.79,75.15
201305,78032446.89,52227655.68,75856300.05,51111278.73,2176146.84,1116376.95,8332,13689,6134.33,81.55
201306,70031759.57,46718646.52,65716005,44391338.99,4315754.57,2327307.53,7027,22016,6317.25,105.71
201307,74275465.55,49796303.82,72510126.9,48944349.51,1765338.65,851954.31,7801,11491,6274.11,74.14
201308,68236793.13,45390131.94,65889962.81,44219775.26,2346830.32,1170356.68,7473,14117,5917.27,82.9
201309,76315460.12,51002406,71957358.81,48684329.09,4358101.31,2318076.91,8152,21939,5972.07,105.66
201310,82475412.2,56210398.97,80642654.87,55329877.21,1832757.33,880521.76,9008,11845,6142.3,74.34
201311,81996236.13,55665318.73,79548995.33,54437124.34,2447240.8,1228194.39,9054,14607,6012.49,84.08
201312,97938669.93,66158191.27,92952908.46,63671991.03,4985761.47,2486200.24,10893,21050,5845.22,118.11
201401,73756664.55,49331121.09,70404907.14,48115929.95,3351757.41,1215191.14,8379,12374,5742.44,98.21
201402,77099599.22,51584705.19,74089056.95,50300788.11,3010542.27,1283917.08,8240,13686,6104.46,93.81
201403,95675113.47,63351676.45,90809490.39,60783056.41,4865623.08,2568620.04,9981,23793,6089.88,107.96
201404,84815535.49,56618595.22,82850457.27,55715379.9,1965078.22,903215.32,9335,11961,5968.44,75.51
201405,89545053.79,59939076.66,87125629.4,58716158.46,2419424.39,1222918.2,9703,14827,6051.34,82.48
201406,86158041.12,57515256.56,81168784.43,54843413.08,4989256.69,2671843.48,9560,24872,5736.76,107.42
201407,94424793.44,64146526.73,93060443.69,63567670.62,1364349.75,578856.11,10586,6807,6004.88,85.04
201408,81922751.96,56252510.91,78924517.05,54460000.29,2998234.91,1792510.62,8456,16267,6440.4,110.19
201409,84365960.03,56602485.76,78756547.16,53741412.53,5609412.87,2861073.23,8850,22305,6072.48,128.27
201410,90297696.39,61130662.53,86972318.7,59142052.14,3325377.69,1988610.39,9468,14295,6246.52,139.11
201411,84553401.76,57380266.68,80809554.08,55388866.93,3743847.68,1991399.75,8592,17841,6446.56,111.62
201412,101127127,68003037.7,90868262.71,62185470.87,10258864.33,5817566.83,10006,33668,6214.82,172.79
201501,96029753.35,63920666.35,90708336.79,61294295.63,5321416.56,2626370.72,9355,11912,6552.04,220.48
