月份,总收入,统筹账户收入,个人账户收入,参保人数
200809,29623698.14,15816478.16,13807219.98,282371
200810,29758936.62,15879234.59,13879702.03,283835
200811,29741397.29,15923080.05,13818317.24,285141
200812,30061895.42,15961333.67,14100561.75,286479
200901,34839087.94,18348976.17,16490111.77,314260
200902,35019312.78,18345423.11,16673889.67,314354
200903,33801849.02,17042694.74,16759154.28,314993
200904,35529090.55,18265607.87,17263482.68,315005
200905,35824809.05,18581953.66,17242855.39,315678
200906,36016430.7,18711114.54,17305316.16,316417
200907,36507177.95,19049445.41,17457732.54,317104
200908,36739873.86,19136214.58,17603659.28,318664
200909,37018469.86,19296512.85,17721957.01,320490
200910,37059452.32,19350237.88,17709214.44,321505
200911,37336380.32,19527900.67,17808479.65,324070
200912,37617648.55,19709323.64,17908324.91,326266
201001,41567965.44,19937769.04,21630196.4,331315
201002,41324819.99,19953715.66,21371104.33,331874
201003,43575368.59,19965143.55,23610225.04,332780
201004,43329770.88,20389683.58,22940087.3,333759
201005,43894703.89,20471590.01,23423113.88,335114
201006,44556049.71,20498623.39,24057426.32,336118
201007,45660398.57,21548591.13,24111807.44,337476
201008,47382429.53,21785991.19,25596438.34,339566
201009,46130519.06,22245652.28,23884866.78,341385
201010,48862893.34,22439312.29,26423581.05,343584
201011,50139587.82,22592159.33,27547428.49,345089
201012,57781104.31,22735021.17,35046083.14,348000
201101,49994772.18,26631841.24,23362930.94,351098
201102,50118746.04,26716806.16,23401939.88,352044
201103,50226928.1,26833484.86,23393443.24,352829
201104,50310164.31,26910696.98,23399467.33,353962
201105,50647700.59,26952018.33,23695682.26,355047
201106,50599760.54,27095608.05,23504152.49,354735
201107,51575752.01,28053116.42,23522635.59,358867
201108,52724625.07,29101783.95,23622841.12,361745
201109,53335840.44,29375490.18,23960350.26,363922
201110,53705673.55,29662478.49,24043195.06,366495
201111,54095294.79,29866268.9,24229025.89,368349
201112,54572577.11,30039048.38,24533528.73,371246
201201,83761311.12,56462549.19,27298761.93,377020
201202,83300388.46,55974947.64,27325440.82,381299
201203,82946332.92,55661025.62,27285307.3,383366
201204,86976246.65,58727860.3,28248386.35,384888
201205,76544533.06,50543896.26,26000636.8,385673
201206,76794105.32,51000470.86,25793634.46,387317
201207,74670974.37,49479222.59,25191751.78,386864
201208,75573506.12,50174233.8,25399272.32,391364
201209,75972564.31,50456614.38,25515949.93,394266
201210,76331615.75,50772322.59,25559293.16,395599
201211,76473670.06,50803619.25,25670050.81,397544
201212,76884076.16,51139469.66,25744606.5,399061
201301,80559982.3,52983298.77,27576683.53,403745
201302,80489276.3,52994054.88,27495221.42,404635
201303,80053526.05,52602967.43,27450558.62,404267
201304,89896022,59866262.51,30029759.49,404649
201305,88683960.65,59041622.13,29642338.52,404483
201306,88015234.83,58690485.98,29324748.85,406920
201307,89362209.93,60018093.06,29344116.87,407842
201308,89468442.92,60114919.58,29353523.34,408656
201309,89626719,60183743.4,29442975.6,410550
201310,89944077.76,60430610.65,29513467.11,411867
201311,90326153.06,60652932.52,29673220.54,414519
201312,90464520.62,60681982.6,29782538.02,416502
201401,93136598.13,61879599.05,31256999.08,418643
201402,92116158.7,61254503.36,30861655.34,419071
201403,91821212,61077835.8,30743376.2,418487
201404,100069789.1,65813749.12,34256039.98,417744
201405,100509606.5,66124319.74,34385286.71,419315
201406,101017104.8,66616520.31,34400584.45,420090
201407,102698402,68946283.99,33752118.02,417362
201408,102699400.7,67978933.24,34720467.42,418040
201409,103295217.7,68405309.24,34889908.49,420365
201410,103689398.8,68678424.68,35010974.09,422147
201411,103751720.5,68703737.07,35047983.39,422765
201412,103950815.4,68825582.68,35125232.7,423828
201501,104779484.2,68171819.71,36607664.5,423008
201502,104906061.1,68260306.38,36645754.73,423344
201503,104796199,68140620.16,36655578.82,423457
201504,111708238,73522621.28,38185616.71,422403
201505,111782176,73566970.07,38215205.96,422710
201506,111755521.5,73531257.55,38224263.95,422683
201507,112011990,73483061.85,38528928.13,420866
201508,112612348.9,73898175.12,38714173.8,422977
201509,113131952.3,74262058.66,38869893.67,425097
201510,113450152,74462195.43,38987956.58,426438
201511,113836556.5,74701571.29,39134985.19,428227
201512,113708930.4,74567240.01,39141690.42,429101
